,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
143,2042200.0,"O,CUTS OF SHEEP,FR/CHI BONE IN",KG,,,122148,88683
144,,Bahrain,,,,6830,4698
145,,Kuwait,,,,7005,4607
146,,Oman,,,,24164,16379
147,,Qatar,,,,7300,4951
148,,Saudi Arabia,,,,20620,15322
149,,United Arab Emirates,,,,56229,42726
150,2042300.0,OTH BONELESS MEAT OF SHEEP F/C,KG,,,4660,3412
151,,Hong Kong S.A.Re.Chi,,,,,
152,,Malaysia,,,,,
153,,Oman,,,,,
154,,Saudi Arabia,,,,4660,3412
155,,Thailand,,,,,
156,,Viet Nam,,,,,
157,2043000.0,"CARCASSES OF LAMB,FROZEN",KG,,,870,366
158,,Kuwait,,,,,
159,,Oman,,,,870,366
160,2044100.0,"CARCASSES OF SHEEP,FROZEN",KG,,,,
161,,Oman,,,,,
162,2044200.0,OTH CUTS OF SHEEP FROZ BONE IN,KG,,,,
163,,Viet Nam,,,,,
164,2044300.0,OTH MEAT OF SHEEP FROZ BONELES,KG,,,,
165,,Iran ( Islamic R.),,,,,
166,2045000.0,MEAT OF GOATS FRESH/CHILL/FROZ,KG,132393,94982,2661071,1853355
167,,Bahrain,,5970,4051,725886,477462
168,,Iran ( Islamic R.),,,,,
169,,Kuwait,,3899,2642,87114,55641
170,,Oman,,33395,22618,241403,163212
171,,Qatar,,12310,8345,25692,17687
172,,Saudi Arabia,,35606,26207,776373,555678
173,,United Arab Emirates,,41213,31117,804603,583675
174,,Viet Nam,,,,,
175,2061000.0,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,93094,27439,1663097,332257
176,,Afghanistan,,,,1086980,190253
177,,Bahrain,,17765,5463,24850,7642
178,,Hong Kong S.A.Re.Chi,,,,,
179,,Kuwait,,14330,4198,24591,7256
180,,Oman,,9680,3018,20148,5887
181,,Qatar,,,,14824,4484
182,,Saudi Arabia,,32330,9285,166730,44234
183,,Thailand,,,,11800,3282
184,,United Arab Emirates,,10989,3282,189884,44464
185,,Viet Nam,,8000,2193,123290,24755
186,2062100.0,"TONGUES OF BOV ANIMALS,FROZEN",KG,,,3122,774
187,,Hong Kong S.A.Re.Chi,,,,,
188,,Viet Nam,,,,3122,774
189,2062200.0,LIVERS OF BOV ANIMALS FROZEN,KG,877,201,56454,14238
190,,Bahrain,,,,8645,2400
191,,Kuwait,,,,4100,977
192,,Malaysia,,,,,
193,,Oman,,510,106,9459,2173
194,,Qatar,,247,69,23019,6342
195,,Saudi Arabia,,,,,
196,,United Arab Emirates,,120,25,11231,2346
197,2062900.0,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,230557,60765,6689655,1410197
198,,Afghanistan,,,,512300,89653
199,,Bahrain,,,,80,25
200,,Bangladesh,,12000,3525,12000,3525
201,,China,,,,28681,7372
202,,Hong Kong S.A.Re.Chi,,,,16280,3773
203,,Iran ( Islamic R.),,,,,
204,,Kuwait,,,,,
205,,Malaysia,,,,27998,9573
206,,Oman,,1026,287,18340,6747
207,,Qatar,,,,8181,2269
208,,Saudi Arabia,,,,12515,3185
209,,South Africa,,,,2000,125
210,,Thailand,,,,92980,18907
211,,Turkey,,,,13500,1491
212,,United Arab Emirates,,,,110030,24746
213,,Viet Nam,,217531,56952,5834770,1238806
214,2068000.0,OTH EDIBLE OFFAL OF ANIM FR/CH,KG,74045,38195,2991946,612328
215,,Afghanistan,,64066,33635,2947353,595925
216,,Bahrain,,,,150,47
217,,Hong Kong S.A.Re.Chi,,,,,
218,,Kuwait,,,,,
219,,Oman,,1379,654,6115,2344
220,,Qatar,,,,573,232
221,,Saudi Arabia,,2500,1125,3700,1814
222,,United Arab Emirates,,6100,2781,34055,11966
223,2069000.0,OTH EDIBLE OFFAL OF ANIM FROZN,KG,,,165202,44082
224,,Afghanistan,,,,,
225,,Kuwait,,,,40,16
226,,Oman,,,,16997,4158
227,,United Arab Emirates,,,,1490,461
228,,Viet Nam,,,,146675,39447
229,2071100.0,MEAT OF FOWLS OF SPE GOLL F/CH,KG,,,,
230,,Afghanistan,,,,,
231,,Hong Kong S.A.Re.Chi,,,,,
232,2071200.0,MEAT OF FOWL OF SPE GALLU FROZ,KG,,,5632,1438
233,,Afghanistan,,,,,
234,,Oman,,,,5632,1438
235,,Thailand,,,,,
236,2071300.0,CUTS&OFFAL OF FOWL FR/CHILL,KG,1200,323,93320,11383
237,,Afghanistan,,1200,323,1200,323
238,,Thailand,,,,,
239,,Viet Nam,,,,92120,11060
240,2071400.0,CUTS & OFFAL OF FOWLS FROZEN,KG,54400,14852,1374613,107043
241,,Hong Kong S.A.Re.Chi,,,,,
242,,Malaysia,,,,,
243,,Oman,,,,5000,410
244,,Qatar,,,,14000,696
245,,Thailand,,,,,
246,,Viet Nam,,54400,14852,1355613,105937
247,2072600.0,CUT & OFFAL OF TURKEY FR/CHILL,KG,110000,16452,377182,48805
248,,Thailand,,,,,
249,,Viet Nam,,110000,16452,377182,48805
250,2072700.0,"CUT & OFFAL OF TURKEY,FROZEN",KG,,,,
251,,Hong Kong S.A.Re.Chi,,,,,
252,,New Zealand,,,,,
253,,Viet Nam,,,,,
254,2075500.0,OTH GEESE MEAT FROZEN,KG,,,25120,5625
255,,Hong Kong S.A.Re.Chi,,,,25120,5625
256,,United Arab Emirates,,,,,
257,2086000.0,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,,,1611,416
258,,Kuwait,,,,,
259,,Saudi Arabia,,,,1611,416
260,2089000.0,OTH MEAT/OFFL EDIBL FR/CH/FRZ,KG,,,122480,44541
261,,Bahrain,,,,,
262,,Kuwait,,,,24615,8786
263,,Qatar,,,,96785,34953
264,,Romania,,,,1080,802
265,,Tajikistan,,,,,
266,2099000.0,"O, POULTRY FAT FR/CH/FZ,DRI,SM",KG,,,500,55
267,,United Kingdom,,,,500,55
268,2102000.0,OTH MEAT BOV ANIM DRIED/SMOKED,KG,,,472350,59005
269,,Oman,,,,25190,6577
270,,Viet Nam,,,,447160,52428
271,3011900.0,OTHER ORNAMENTAL FISH,KG,,,145349,38776
272,,Afghanistan,,,,35810,10282
273,,Australia,,,,,
274,,China,,,,96816,24607
275,,Hong Kong S.A.Re.Chi,,,,11611,3543
276,,O.Asia(Tai.For.Pe.Ki,,,,968,301
277,,Thailand,,,,144,42
278,3019900.0,OTHER LIVE FISH,KG,,,707100,212742
279,,Canada,,,,,
280,,China,,,,565118,159195
281,,Hong Kong S.A.Re.Chi,,,,98035,40245
282,,Japan,,,,240,75
283,,Kuwait,,,,,
284,,Malaysia,,,,,
285,,O.Asia(Tai.For.Pe.Ki,,,,30953,10853
286,,Qatar,,,,,
287,,Singapore,,,,,
288,,Thailand,,,,11274,2038
289,,U.S.America,,,,480,250
290,,United Arab Emirates,,,,,
291,,Viet Nam,,,,,
292,3021900.0,"OTH SALMO FISH,EXCL LIVER F/CH",KG,3736,1297,557656,167317
293,,Afghanistan,,810,261,185245,25282
294,,Bahrain,,,,,
295,,Canada,,,,28159,11867
296,,Hong Kong S.A.Re.Chi,,,,6728,2758
297,,Jordan,,,,,
298,,"Korea, Republic of",,,,4000,1341
299,,Kuwait,,,,31240,10395
300,,Malaysia,,,,1060,434
301,,Mauritius,,,,,
302,,O.Asia(Tai.For.Pe.Ki,,,,,
303,,Qatar,,,,,
304,,Saudi Arabia,,2050,673,207010,72359
305,,Singapore,,,,950,289
306,,Thailand,,,,2000,623
307,,U.S.America,,,,8434,6166
308,,United Arab Emirates,,876,363,82342,35529
309,,United Kingdom,,,,488,273
310,,Viet Nam,,,,,
311,3022300.0,SOLE FLAT FISH F/CH EXCL.LIVER,KG,,,23166,3236
312,,Hong Kong S.A.Re.Chi,,,,,
313,,Kuwait,,,,186,125
314,,Malaysia,,,,,
315,,O.Asia(Tai.For.Pe.Ki,,,,400,208
316,,Thailand,,,,,
317,,United Arab Emirates,,,,22580,2904
318,,Viet Nam,,,,,
319,3022900.0,"O.FLAT FISH,EX.LIVER&ROES.F/CH",KG,,,1349126,418497
320,,Afghanistan,,,,,
321,,Bahrain,,,,52040,7767
322,,Canada,,,,8379,2923
323,,Hong Kong S.A.Re.Chi,,,,7335,2859
324,,Japan,,,,,
325,,Jordan,,,,7820,2443
326,,Kuwait,,,,112784,33247
327,,O.Asia(Tai.For.Pe.Ki,,,,14463,4435
328,,Qatar,,,,76010,22607
329,,Saudi Arabia,,,,421680,134176
330,,U.S.America,,,,51760,16214
331,,United Arab Emirates,,,,589967,189665
332,,United Kingdom,,,,,
333,,Viet Nam,,,,,
334,3023300.0,SKIPJACK/STRIPE-BELLED TUNAS,KG,,,,
335,,United Arab Emirates,,,,,
336,3023900.0,OTH TUNAS EXCL LVR/ROES FR/CHL,KG,,,1546387,482396
337,,Afghanistan,,,,3803,1145
338,,Bahrain,,,,67625,16617
339,,Bangladesh,,,,500,156
340,,Canada,,,,18336,7441
341,,D.R.of Congo,,,,,
342,,Hong Kong S.A.Re.Chi,,,,7980,4148
343,,Jordan,,,,17731,5727
344,,Kuwait,,,,244324,48685
345,,Lebanon,,,,22272,8406
346,,Liberia,,,,15000,5034
347,,O.Asia(Tai.For.Pe.Ki,,,,702,271
348,,Oman,,,,230,162
349,,Qatar,,,,183929,58044
350,,Saudi Arabia,,,,511261,167761
351,,South Africa,,,,,
352,,Thailand,,,,33961,10722
353,,U.S.America,,,,36115,16787
354,,United Arab Emirates,,,,382618,131290
355,3024300.0,"SARDINES,BRISLING/SPRATS FR/CH",KG,55930,3771,2066790,167355
356,,Afghanistan,,,,7000,608
357,,Bangladesh,,,,,
358,,Fiji,,,,75000,5753
359,,Indonesia,,27930,1750,1719425,130037
360,,Japan,,,,12000,1872
361,,"Korea, Republic of",,,,2350,1505
362,,Malaysia,,,,45115,6476
363,,O.Asia(Tai.For.Pe.Ki,,28000,2021,200500,17806
364,,Thailand,,,,5400,3296
365,3024400.0,"MACKERAL EXCL LIVER,ROE FR/CHI",KG,,,400000,58520
366,,Malaysia,,,,,
367,,Thailand,,,,400000,58520
368,,U.S.America,,,,,
369,3028500.0,"SEABREAM EXCL LIVR,ROES FR/CH",KG,,,,
370,,Viet Nam,,,,,
371,3028900.0,OTH FISH EXCL LVR/ROES FRE/CHL,KG,,,293998,88371
372,,Bahrain,,,,,
373,,Canada,,,,6510,2063
374,,China,,,,,
375,,Egypt(U.A.R.),,,,,
376,,Hong Kong S.A.Re.Chi,,,,,
377,,Japan,,,,,
378,,Kuwait,,,,16795,5866
379,,Malaysia,,,,,
380,,O.Asia(Tai.For.Pe.Ki,,,,725,303
381,,Qatar,,,,,
382,,Saudi Arabia,,,,22911,8087
383,,Singapore,,,,,
384,,Thailand,,,,,
385,,U.S.America,,,,16670,3778
386,,United Arab Emirates,,,,230387,68275
387,,Viet Nam,,,,,
388,3029000.0,LIVERS & ROES FRESH OR CHILLED,KG,,,500,87
389,,Afghanistan,,,,500,87
390,3031900.0,"O.SALMONIDAE FROZ,EX.LIVER&ROE",KG,1427290,356810,22681227,5693540
391,,Afghanistan,,,,,
392,,Bahrain,,,,,
393,,Bangladesh,,10550,3459,92779,22787
394,,Belgium,,20650,8259,82390,30921
395,,Benin,,,,,
396,,Canada,,,,,
397,,China,,258545,46054,1725622,384244
398,,Egypt(U.A.R.),,,,27030,7071
399,,Greece,,,,43200,15100
400,,Hong Kong S.A.Re.Chi,,,,22000,15015
401,,Indonesia,,,,155140,35350
402,,Italy,,8560,2139,30160,10327
403,,Japan,,6580,3648,60940,28212
404,,Jordan,,,,,
405,,"Korea, Republic of",,17652,5822,716456,228156
406,,Kuwait,,,,499000,112727
407,,Malaysia,,90297,14524,797369,206011
408,,Mauritius,,,,,
409,,Netherlands,,,,23140,5448
410,,O.Asia(Tai.For.Pe.Ki,,34630,4420,187314,40077
411,,Qatar,,,,,
412,,Saudi Arabia,,26000,2983,26000,2983
413,,Singapore,,10274,4140,121889,35756
414,,South Africa,,,,28000,5537
415,,Spain,,23746,7564,264372,90055
416,,Sri Lanka,,,,,
417,,Thailand,,237144,42946,5984510,1409488
418,,U.S.America,,,,15000,2071
419,,United Arab Emirates,,53651,14808,646653,207840
420,,United Kingdom,,76655,37166,622948,254201
421,,Viet Nam,,552356,158879,10509315,2544160
422,3032400.0,CATFISH EXCL.LIVER/ROES FROZEN,KG,,,56632,19109
423,,Malaysia,,,,640,212
424,,Sri Lanka,,,,7894,1739
425,,Thailand,,,,48098,17158
426,,United Kingdom,,,,,
427,3032600.0,EELS EXCL LVESR&ROES FROZEN,KG,,,55600,10073
428,3032900.0,O.TILAPIAS.EX.LIVERS&ROES FROZ,KG,308840,139428,2680939,1143572
429,,Bahrain,,,,740,228
430,,Bangladesh,,19000,8814,28800,12863
431,,Canada,,,,1020,743
432,,China,,12000,5186,76960,31209
433,,Fiji,,8000,3831,26300,13198
434,,Hong Kong S.A.Re.Chi,,,,,
435,,Indonesia,,21000,9740,68632,31259
436,,Iraq,,4700,2170,13700,6361
437,,Japan,,,,55373,23492
438,,Jordan,,,,2495,778
439,,"Korea, Republic of",,34000,15190,350463,146695
440,,Kuwait,,52209,23137,1069067,471646
441,,Malaysia,,,,12000,5527
442,,O.Asia(Tai.For.Pe.Ki,,,,25364,10555
443,,Oman,,,,500,208
444,,Qatar,,5331,2592,6431,3104
445,,Saudi Arabia,,,,96461,39375
446,,Thailand,,104600,47243,366336,150372
447,,U.S.America,,,,22393,14696
448,,United Arab Emirates,,,,2710,827
449,,Viet Nam,,48000,21525,455194,180438
450,3033300.0,SOLE FLAT FISH EXCL LIVER FROZ,KG,,,307761,78341
