,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
16536,,Algeria,,,,,80
16537,,Australia,,,83,,83
16538,,Bahrain,,,,,
16539,,Bangladesh,,,,,2
16540,,Belgium,,,,,
16541,,Canada,,,,,1
16542,,China,,,,,
16543,,Czech Republic,,,,,6
16544,,Fiji,,,,,
16545,,France,,,,,
16546,,Georgia,,,,,
16547,,Germany,,,,,
16548,,Guyana,,,,,21
16549,,Hong Kong S.A.Re.Chi,,,,,4
16550,,India,,,,,174
16551,,Italy,,,,,
16552,,Japan,,,,,8
16553,,Kazakstan,,,,,
16554,,Kenya,,,2,,528
16555,,"Korea, Republic of",,,,,
16556,,Kuwait,,,,,39
16557,,Kyrgyzstan/Kyrgyz R.,,,,,38
16558,,Liberia,,,2,,2
16559,,Lithuania,,,,,1
16560,,Madagascar,,,,,
16561,,Malaysia,,,17,,116
16562,,Mauritius,,,,,
16563,,Mongolia,,,,,
16564,,Mozambique,,,,,
16565,,Myanmar,,,,,
16566,,Netherlands,,,,,11
16567,,Oman,,,,,220
16568,,Philippines,,,,,916
16569,,Qatar,,,64,,1964
16570,,Saudi Arabia,,,,,36
16571,,Senegal,,,,,208
16572,,Sierra Leone,,,,,
16573,,Singapore,,,,,12
16574,,Somalia,,,,,22
16575,,South Africa,,,,,31
16576,,Spain,,,,,665
16577,,Sri Lanka,,,,,6
16578,,Tajikistan,,,,,
16579,,Thailand,,,,,
16580,,Turkey,,,,,416
16581,,U.R.of Tanzania,,,2,,2
16582,,U.S.America,,,3,,514
16583,,Uganda,,,1,,1
16584,,United Arab Emirates,,,,,277
16585,,United Kingdom,,,26,,702
16586,,Viet Nam,,,,,94
16587,49119100.0,"PICTURES,DESIGNS&PHOTOGRAPHS",VAL,,31,,246
16588,,Bahrain,,,,,1
16589,,Russian Federation,,,,,
16590,,Slovenia,,,,,38
16591,,U.R.of Tanzania,,,,,156
16592,,U.S.America,,,,,20
16593,,United Kingdom,,,31,,31
16594,49119900.0,"OTHER, PRINTED MATTER",VAL,,6656,,61734
16595,,Afghanistan,,,,,120
16596,,Australia,,,,,227
16597,,Bahrain,,,,,105
16598,,Bangladesh,,,,,16
16599,,Belgium,,,297,,1923
16600,,Botswana,,,,,
16601,,Brunei Darussalam,,,,,5
16602,,Canada,,,,,327
16603,,China,,,2,,8
16604,,"Co,te d,Ivoire(Fr.Iv",,,,,101
16605,,Denmark,,,,,55
16606,,Egypt(U.A.R.),,,,,104
16607,,Finland,,,,,3
16608,,France,,,1,,1019
16609,,Georgia,,,,,30
16610,,Germany,,,,,320
16611,,Greece,,,,,
16612,,Hong Kong S.A.Re.Chi,,,..,,5
16613,,India,,,,,633
16614,,Indonesia,,,,,7
16615,,Iran ( Islamic R.),,,,,
16616,,Iraq,,,,,164
16617,,Ireland,,,,,17
16618,,Italy,,,,,855
16619,,Kuwait,,,,,2222
16620,,Kyrgyzstan/Kyrgyz R.,,,,,15
16621,,Lithuania,,,,,
16622,,Madagascar,,,,,
16623,,Malaysia,,,,,27
16624,,Mauritius,,,,,21
16625,,Mozambique,,,,,
16626,,Netherlands,,,,,2
16627,,New Zealand,,,,,
16628,,Norway,,,,,2
16629,,Oman,,,,,4
16630,,Qatar,,,,,9
16631,,Saudi Arabia,,,,,104
16632,,Singapore,,,,,489
16633,,Somalia,,,,,297
16634,,South Africa,,,,,80
16635,,Spain,,,,,2242
16636,,Sri Lanka,,,,,5662
16637,,Sweden,,,,,25
16638,,Switzerland,,,,,
16639,,Thailand,,,,,2
16640,,U.S.America,,,5914,,38217
16641,,Ukraine,,,,,
16642,,United Arab Emirates,,,421,,1343
16643,,United Kingdom,,,21,,4050
16644,50030000.0,"SILK WASTE, YARN WASTE&G-STOCK",KG,,,37823,9838
16645,,China,,,,,
16646,,Mexico,,,,37823,9838
16647,50040000.0,"SILK YARN,NOT RETAIL SALE",KG,,,,
16648,,Oman,,,,,
16649,50050000.0,"YARN SPUN FROM SILK,WASTE NRS",KG,,,,
16650,,United Arab Emirates,,,,,
16651,50060000.0,SILK YARN/ YARN SPUN WASTE NRS,KG,,,,
16652,,Italy,,,,,
16653,50071000.0,FABRICS OF NOIL SILK,SQM,9451,2826,25496,8455
16654,,India,,9451,2826,18511,6018
16655,,Malaysia,,,,4540,1519
16656,,Qatar,,,,,
16657,,Sri Lanka,,,,,
16658,,U.S.America,,,,,
16659,,United Arab Emirates,,,,,
16660,,United Kingdom,,,,2445,917
16661,50072000.0,OTH FAB CON>80% WT OF SILK,SQM,40169,11891,129391,48025
16662,,Belgium,,,,,
16663,,India,,6000,1641,33286,12041
16664,,Malaysia,,1997,521,1997,521
16665,,Qatar,,1500,369,4177,2121
16666,,Saudi Arabia,,,,146,54
16667,,U.S.America,,1672,544,2380,842
16668,,United Arab Emirates,,4000,1402,25072,8989
16669,,United Kingdom,,25000,7414,60768,22754
16670,50079000.0,OTHER SILK FABRICS,SQM,28929,7514,349079,129538
16671,,Bangladesh,,14642,3563,62732,21410
16672,,China,,,,1455,441
16673,,Ghana,,,,,
16674,,Greece,,,,,
16675,,India,,46,348,2531,1543
16676,,Iran ( Islamic R.),,,,,
16677,,Japan,,,,,
16678,,Kenya,,,,,
16679,,Kuwait,,,,,
16680,,Malaysia,,,,800,296
16681,,Mozambique,,,,220,86
16682,,Oman,,,,340,125
16683,,Qatar,,,,3100,875
16684,,Romania,,,,,
16685,,Saudi Arabia,,530,137,7530,2161
16686,,Spain,,,,20774,8749
16687,,Sri Lanka,,,,,
16688,,U.S.America,,,,390,106
16689,,United Arab Emirates,,12175,2983,230696,86889
16690,,United Kingdom,,1536,484,18511,6857
16691,51011100.0,SHON WOOL GREASY,KG,,,32753,5004
16692,,China,,,,,
16693,,India,,,,,
16694,,Indonesia,,,,32753,5004
16695,,Italy,,,,,
16696,,"Korea, Republic of",,,,,
16697,,United Kingdom,,,,,
16698,51011900.0,OTHER GREASY FLEECE WSHED WOOL,KG,69567,9044,392030,49648
16699,,Afghanistan,,,,11405,1810
16700,,Australia,,,,,
16701,,Bangladesh,,,,924,169
16702,,China,,,,,
16703,,Germany,,,,605,103
16704,,India,,,,298424,37103
16705,,"Korea, Republic of",,,,,
16706,,Libya,,,,1105,105
16707,,U.S.America,,69567,9044,79567,10359
16708,,United Kingdom,,,,,
16709,51012100.0,"SHORN WOOL, DEGREASED",KG,34215,7069,238817,47106
16710,,Belgium,,,,,
16711,,India,,,,16355,2965
16712,,Indonesia,,,,16000,2568
16713,,Lithuania,,9577,2107,53258,10827
16714,,United Kingdom,,24638,4962,153204,30746
16715,51012900.0,OTHER DEGREASED WOOL NOT CORBO,KG,108084,20921,1144997,225836
16716,,Australia,,,,,
16717,,China,,,,9655,1835
16718,,France,,10468,2188,36737,7530
16719,,India,,76180,15998,952612,187388
16720,,"Korea, Republic of",,,,,
16721,,Portugal,,,,1988,391
16722,,U.S.America,,,,19869,3831
16723,,United Arab Emirates,,,,,
16724,,United Kingdom,,21436,2735,116136,23402
16725,51021100.0,FINE  ANIMAL HAIR OF KASHMIR,KG,,,7915,1555
16726,,China,,,,1400,263
16727,,Japan,,,,5900,1176
16728,,Viet Nam,,,,615,117
16729,51021900.0,OTH FINE  ANIMAL HAIR KASHMIR,KG,,,29812,4717
16730,,Afghanistan,,,,2380,849
16731,,China,,,,2332,280
16732,,France,,,,12135,1699
16733,,Japan,,,,12965,1889
16734,,"Korea, Republic of",,,,,
16735,,United Kingdom,,,,,
16736,51022000.0,COARSE ANIMAL HAIR,KG,7135,1313,325131,59536
16737,,China,,,,113184,21207
16738,,France,,,,13000,2370
16739,,Germany,,7135,1313,100478,18449
16740,,Japan,,,,6383,1181
16741,,"Korea, Republic of",,,,,
16742,,Portugal,,,,3700,645
16743,,Saudi Arabia,,,,,
16744,,Syrian Arab Republic,,,,74000,12958
16745,,Turkey,,,,9886,1846
16746,,United Kingdom,,,,4500,880
16747,51031000.0,NOILS OF WOOL/FINE ANIMAL HAIR,KG,,,1675,226
16748,,India,,,,1675,226
16749,51032000.0,OTH WASTE OF WOOL/ANIMAL HAIR,KG,209923,37742,2552890,439808
16750,,Afghanistan,,,,,
16751,,Belgium,,,,,
16752,,China,,7030,914,142172,12828
16753,,France,,,,,
16754,,Germany,,,,9764,1077
16755,,India,,187172,34627,2129167,376031
16756,,Indonesia,,,,4400,728
16757,,Japan,,,,,
16758,,"Korea, Republic of",,,,32750,7209
16759,,Lithuania,,,,,
16760,,New Zealand,,,,23331,2605
16761,,Portugal,,,,,
16762,,Turkey,,,,,
16763,,U.S.America,,,,53117,9919
16764,,United Kingdom,,15721,2201,158189,29410
16765,51033000.0,WASTE OF COARSE ANIMAL HAIR,KG,,,13185,2181
16766,,China,,,,,
16767,,France,,,,10500,1900
16768,,Sri Lanka,,,,455,48
16769,,Viet Nam,,,,2230,234
16770,51051000.0,CARDED WOOL,KG,,,709,117
16771,,Germany,,,,709,117
16772,,Saudi Arabia,,,,,
16773,51052900.0,OTHER WOOLTOPS&COMBED WOOL,KG,,,6130,2386
16774,,Germany,,,,3880,1553
16775,,Zambia,,,,2250,833
16776,51053900.0,"OTH F-ANIMAL HAIR,CARD/COMBED",KG,,,,
16777,,China,,,,,
16778,,India,,,,,
16779,51061000.0,YARN OF CARDED WOOL 85% WT WOL,KG,,,1233,350
16780,,United Arab Emirates,,,,1233,350
16781,51062000.0,YARN OF CARDED WOOL<85% W  WOL,KG,,,21680,7535
16782,,U.S.America,,,,21680,7535
16783,51072000.0,YARN OF COMBED WOOL-WEIGHT<85%,KG,,,,
16784,,India,,,,,
16785,51082000.0,YARN OF FINE ANIMAL HAIR COMBD,KG,,,,
16786,,Portugal,,,,,
16787,51091000.0,YARN OF WOOL /ANIMAL HAIR 85%>,KG,,,1060,334
16788,,Afghanistan,,,,1060,334
16789,51099000.0,OTH YARN OF WOOL / ANIMAL HAIR,KG,2190,746,13873,3962
16790,,Afghanistan,,2190,746,13873,3962
16791,,Germany,,,,,
16792,51111900.0,OTH WOVEN FABRICS CARDED WOOL,SQM,8659,602,13968,1954
16793,,Afghanistan,,,,533,597
16794,,India,,1356,202,2760,483
16795,,Qatar,,,,335,42
16796,,Spain,,,,,
16797,,United Arab Emirates,,7303,400,8910,642
16798,,United Kingdom,,,,1430,191
16799,51119000.0,OTH WOVEN FAB CARDED WOL/HAIR,SQM,20,4,20,4
16800,,Saudi Arabia,,20,4,20,4
16801,51121900.0,OTH WOVEN FAB COMBED WOOL 85%>,SQM,720,150,2770,662
16802,,United Kingdom,,720,150,2770,662
16803,51129000.0,OTH WOV.FAB.CARDE WOOL/FA-HAIR,SQM,,,3,1
16804,,India,,,,3,1
16805,,Germany,,,,400,121
16806,52010010.0,COTTON  AMERICAN,MT,,,,
16807,,Bangladesh,,,,,
16808,,Indonesia,,,,,
16809,,Thailand,,,,,
16810,,Viet Nam,,,,,
16811,52010070.0,LENGTH.EX.31.BUT NOT.EX.34.5MM,MT,,,,
16812,,India,,,,,
16813,52010090.0,OTHER COTTON,MT,354,66397,49315,7948125
16814,,Bangladesh,,101,19022,9687,1578896
16815,,China,,,,99,15764
16816,,Cuba,,,,97,14755
16817,,Djibouti,,,,,
16818,,India,,,,13159,2112797
16819,,Indonesia,,,,9479,1527539
16820,,O.Asia(Tai.For.Pe.Ki,,253,47375,738,120630
16821,,Oman,,,,6,858
16822,,Philippines,,,,203,28538
16823,,Thailand,,,,3769,579960
16824,,Viet Nam,,,,12078,1968387
16825,52021000.0,YARN WASTE(INCL.THREAD WASTE),MT,752,82014,11502,1172908
16826,,Afghanistan,,16,1521,150,16459
16827,,Bahrain,,2,134,52,3381
16828,,Bangladesh,,,,19,4751
16829,,Belgium,,,,755,73335
16830,,Canada,,,,27,3650
16831,,Chile,,7,352,127,12250
16832,,China,,21,1707,300,27011
16833,,Colombia,,,,175,19934
16834,,Cuba,,50,5112,74,8839
16835,,Denmark,,,,,
16836,,Djibouti,,,,,
16837,,France,,228,22842,3386,344185
16838,,Germany,,47,4651,902,89950
16839,,Greece,,,,159,16383
16840,,Hong Kong S.A.Re.Chi,,11,1042,209,19262
16841,,Iraq,,,,17,1381
16842,,Italy,,131,12394,1847,194925
16843,,"Korea, Republic of",,,,164,17679
16844,,Kuwait,,5,479,50,4065
16845,,Malaysia,,,,,
16846,,Mexico,,,,39,3318
16847,,Morocco,,,,30,3069
16848,,Netherlands,,,,104,10868
16849,,O.Asia(Tai.For.Pe.Ki,,76,7381,326,30600
16850,,Oman,,3,288,118,11155
16851,,Philippines,,,,25,1954
16852,,Poland,,,,33,3170
16853,,Portugal,,,,,
16854,,Qatar,,,,102,7796
16855,,Saudi Arabia,,,,10,1285
16856,,Singapore,,,,101,7849
16857,,Spain,,,,35,3036
16858,,Thailand,,,,305,29988
16859,,Turkey,,,,30,3325
16860,,U.S.America,,153,23925,1516,172946
16861,,United Arab Emirates,,2,188,260,20354
16862,,United Kingdom,,,,37,3611
16863,,Viet Nam,,,,,
16864,52029100.0,GARNETTED STOCK,MT,360,62652,3855,644886
16865,,Afghanistan,,,,29,5482
16866,,Algeria,,,,264,44508
16867,,Brazil,,,,62,12582
16868,,Canada,,,,25,4907
16869,,Dominican Republic,,29,4450,48,8908
16870,,Estonia,,,,52,9938
16871,,France,,20,3008,369,56146
16872,,Germany,,,,18,3919
16873,,Greece,,25,3924,173,29676
16874,,Ireland,,,,90,14902
16875,,Italy,,80,14563,491,81197
16876,,"Korea, Republic of",,,,35,6475
16877,,Malaysia,,,,17,3402
16878,,Netherlands,,,,244,49913
16879,,Poland,,,,38,6692
16880,,Russian Federation,,140,25934,548,88010
16881,,South Africa,,,,20,3509
16882,,South Sudan,,20,3864,75,11432
16883,,Spain,,,,150,23957
16884,,Sri Lanka,,25,3428,96,16229
16885,,Sudan,,,,,
16886,,Tunisia,,,,93,18760
16887,,U.S.America,,,,188,26139
16888,,United Arab Emirates,,,,30,5929
16889,,United Kingdom,,21,3481,700,112275
16890,52029900.0,OTHER COTTON WASTE,MT,2091,225954,28143,2788888
16891,,Afghanistan,,356,8438,1118,76537
16892,,Australia,,,,8,793
16893,,Austria,,,,2,173
16894,,Bahrain,,,,2,187
16895,,Bangladesh,,,,55,5078
16896,,Belgium,,50,4774,1004,96546
16897,,Brazil,,52,3596,577,41459
16898,,Canada,,1,58,2,123
16899,,China,,,,974,74301
16900,,Colombia,,,,,
16901,,Cuba,,,,513,53494
16902,,Djibouti,,,,40,2881
16903,,Estonia,,113,21752,790,104368
16904,,France,,234,39756,6960,700606
16905,,Germany,,4,666,2526,266248
16906,,Greece,,,,30,3009
16907,,Hong Kong S.A.Re.Chi,,,,214,16998
16908,,India,,,,3,272
16909,,Italy,,225,29201,5835,606146
16910,,Japan,,,,,
16911,,Kenya,,,,155,16212
16912,,"Korea, Republic of",,200,17608,1178,94684
16913,,Kuwait,,,,60,5121
16914,,Malaysia,,100,10013,783,76951
16915,,Mexico,,,,26,1888
16916,,Netherlands,,38,7032,792,107732
16917,,O.Asia(Tai.For.Pe.Ki,,499,51100,1910,182849
16918,,Oman,,,,,
16919,,Philippines,,,,25,1957
16920,,Poland,,20,3443,58,9710
16921,,Portugal,,,,307,32820
16922,,Qatar,,5,497,272,15738
16923,,Russian Federation,,,,33,3225
16924,,Saudi Arabia,,,,13,1355
16925,,Singapore,,,,14,1144
16926,,South Africa,,20,3557,253,31661
16927,,Spain,,37,6434,95,13199
16928,,Sri Lanka,,20,3097,38,4320
16929,,Switzerland,,,,,
16930,,Thailand,,,,628,61376
16931,,Turkey,,25,2695,127,12505
16932,,U.S.America,,19,3184,23,3594
16933,,United Arab Emirates,,40,3961,250,23948
16934,,United Kingdom,,12,1149,155,15412
16935,,Uruguay,,21,3942,98,15280
16936,,Viet Nam,,,,50,2791
16937,52030000.0,"COTTON, CARDED OR COMBED.",MT,5,650,148,15145
16938,,Bangladesh,,1,143,8,1097
16939,,Belgium,,,,,
16940,,China,,,,1,75
16941,,Colombia,,,,,
16942,,Ecuador,,,,,
16943,,France,,,,,
16944,,Germany,,2,183,16,1970
16945,,Honduras,,,,,
16946,,Hong Kong S.A.Re.Chi,,,,6,469
16947,,India,,,,29,2556
16948,,Italy,,,,13,1568
16949,,Japan,,,,,
16950,,Malaysia,,,,,
16951,,Mauritius,,,,36,3034
16952,,Morocco,,,,,
16953,,O.Asia(Tai.For.Pe.Ki,,,,,
16954,,Portugal,,,,,
16955,,Saudi Arabia,,,,,
16956,,Sri Lanka,,,,,
16957,,Thailand,,,,22,2160
16958,,Tunisia,,,,1,385
16959,,Turkey,,,,,
16960,,United Arab Emirates,,2,324,8,865
16961,,United Kingdom,,,,8,966
16962,,Viet Nam,,,,,
16963,52041100.0,COTTON SEWING THREAD 85%/MORE,KG,536297,232706,5300525,2224679
16964,,Australia,,22692,9568,72801,34182
16965,,Bangladesh,,46552,21233,705312,336739
16966,,Cambodia Fr.Kampuche,,17713,7951,154935,74864
16967,,Canada,,,,32319,11827
16968,,China,,,,,
16969,,Denmark,,,,10320,2933
16970,,Egypt(U.A.R.),,,,13154,7118
16971,,Ethiopia,,,,,
16972,,Finland,,,,17550,4498
16973,,Germany,,,,3309,1865
16974,,India,,,,,
16975,,Italy,,27842,11039,164737,70162
16976,,Japan,,6081,2238,12131,4548
16977,,Jordan,,,,6487,2410
16978,,"Korea, Republic of",,314296,127199,2449493,1007939
16979,,Malaysia,,,,22896,8530
16980,,Netherlands,,,,8237,4742
16981,,New Zealand,,,,20,11
16982,,Nigeria,,,,5627,4151
16983,,Oman,,,,110,42
16984,,Philippines,,,,78245,33119
16985,,Poland,,,,184238,68864
16986,,Portugal,,38222,29861,596142,242378
16987,,Romania,,,,2480,894
16988,,Saudi Arabia,,,,,
16989,,Senegal,,9492,2887,21034,6059
16990,,South Africa,,,,30253,13196
16991,,Spain,,28096,10696,531370,209672
16992,,Sri Lanka,,2608,1214,41426,18234
16993,,Turkey,,8301,3417,8301,3417
16994,,U.S.America,,,,8981,3248
16995,,United Arab Emirates,,,,225,31
16996,,United Kingdom,,,,6058,2672
16997,,Viet Nam,,14402,5402,112334,46334
16998,52041900.0,OTH COTTON SEWING THREAD 85%>,KG,45548,19358,124668,51823
16999,,Afghanistan,,,,385,151
17000,,Bangladesh,,,,350,118
17001,,Haiti,,,,175,61
17002,,Iraq,,,,,
17003,,Italy,,45548,19358,106323,45255
17004,,Kuwait,,,,,
17005,,Malaysia,,,,,
17006,,Netherlands,,,,,
17007,,Oman,,,,320,157
17008,,Spain,,,,11360,3521
17009,,Sri Lanka,,,,,
17010,,U.S.America,,,,,
17011,,Uganda,,,,,
17012,,United Kingdom,,,,135,58
17013,,Zimbabwe,,,,541,230
17014,52042010.0,COTTON THREAD FOR SEWING,KG,128,41,4018,1454
17015,,Bangladesh,,,,,
17016,,Cuba,,,,166,55
17017,,Djibouti,,,,,
17018,,Egypt(U.A.R.),,,,,
17019,,Ghana,,,,,
17020,,Haiti,,,,,
17021,,Jamaica,,,,,
17022,,Jordan,,,,,
17023,,Kenya,,,,,
17024,,Malawi,,,,,
17025,,Mozambique,,,,,
17026,,Myanmar,,,,,
17027,,Panama,,,,,
17028,,Qatar,,,,,
17029,,South Africa,,,,,
17030,,Sri Lanka,,,,,
17031,,Uganda,,,,127,39
17032,,United Arab Emirates,,128,41,3725,1360
17033,,United Kingdom,,,,,
17034,52042020.0,COTTON THREAD FOR EMBROIDERY,KG,4526,2862,57260,35448
17035,,Egypt(U.A.R.),,3047,1874,3047,1874
17036,,Italy,,600,424,884,580
17037,,Kenya,,,,44703,28361
17038,,Netherlands,,,,,
17039,,Nigeria,,300,204,774,603
17040,,Sweden,,,,15,14
17041,,Uganda,,579,359,2975,1706
17042,,United Arab Emirates,,,,4862,2310
17043,52042090.0,OTH COTTON THREAD FOR R/SALE,KG,1939,654,35558,14492
17044,,Afghanistan,,,,,
17045,,Bahrain,,,,,
17046,,Bangladesh,,,,,
17047,,Canada,,,,400,144
17048,,Djibouti,,,,,
17049,,Haiti,,,,,
17050,,India,,,,,
17051,,Japan,,,,,
17052,,Kenya,,,,,
17053,,Kuwait,,,,880,261
17054,,Madagascar,,,,351,199
17055,,Malawi,,,,,
17056,,Oman,,,,874,223
17057,,Poland,,,,6392,2676
17058,,Qatar,,,,,
17059,,Saudi Arabia,,,,7510,2622
17060,,South Africa,,,,4200,1766
17061,,Sri Lanka,,,,,
17062,,U.S.America,,,,12000,5614
17063,,United Kingdom,,1647,570,1694,591
17064,,"Venezuela,Bolivar. R",,,,,
17065,52051100.0,SIN.COT.YAR.U.COM.FIB.D-714.29,KG,3312233,716872,30959019,7632188
17066,,Algeria,,,,19051,6429
17067,,Bahrain,,,,139629,37639
17068,,Bangladesh,,137141,32157,2378415,569894
17069,,Belgium,,,,667,149
17070,,Canada,,,,34680,9823
17071,,China,,2794507,594547,24492940,6033135
17072,,Egypt(U.A.R.),,,,62373,10552
17073,,France,,,,,
17074,,Germany,,,,32980,8673
17075,,Greece,,,,,
17076,,Haiti,,,,712,277
17077,,Hong Kong S.A.Re.Chi,,194368,44066,1654150,398951
17078,,India,,,,1900,719
17079,,Indonesia,,,,88450,26924
17080,,Italy,,,,117887,31799
17081,,Japan,,40773,9005,524105,114129
17082,,"Korea, Republic of",,,,25628,5932
17083,,Malaysia,,62595,17606,246003,66530
17084,,Mauritius,,,,1051,833
17085,,Myanmar,,,,12225,2934
17086,,Netherlands,,,,7621,2603
17087,,Oman,,,,,
17088,,Philippines,,4082,882,166517,36322
17089,,Poland,,,,57603,15514
17090,,Portugal,,21232,5059,235570,77614
17091,,Romania,,,,,
17092,,Saudi Arabia,,,,5670,1092
17093,,Slovenia,,,,6029,2631
17094,,Spain,,,,10540,3377
17095,,Sri Lanka,,998,178,24103,8802
17096,,Sweden,,,,,
17097,,Thailand,,,,,
17098,,Turkey,,,,38249,9203
17099,,U.S.America,,19142,4775,184867,57415
17100,,United Arab Emirates,,34020,7558,258940,58341
17101,,United Kingdom,,3375,1039,130364,33922
17102,,Viet Nam,,,,100,31
17103,52051200.0,S-COT.YARN UCF.D-232.56-714.29,KG,17982646,5683485,266310978,85753571
17104,,Afghanistan,,,,,
17105,,Argentina,,,,17237,8899
17106,,Australia,,,,24046,7650
17107,,Azerbaijan,,,,1540,501
17108,,Bahrain,,,,906239,282860
17109,,Bangladesh,,1296441,326426,19264217,6133117
17110,,Belgium,,19051,4625,154290,41843
17111,,Brazil,,,,17600,3373
17112,,Bulgaria,,,,42146,16937
17113,,Canada,,,,152106,44159
17114,,China,,13792310,4579047,207862588,68485387
17115,,Cuba,,,,66408,18754
17116,,Djibouti,,,,77895,23700
17117,,Egypt(U.A.R.),,57267,14299,627725,169570
17118,,El Salvador,,,,17690,4588
17119,,France,,446,207,7681,2148
17120,,Germany,,30074,8945,437134,121852
17121,,Greece,,,,1572,446
17122,,Guatemala,,39916,11014,180441,54356
17123,,Honduras,,,,86638,24744
17124,,Hong Kong S.A.Re.Chi,,280776,65357,6153652,1751842
17125,,Hungary,,,,,
17126,,India,,,,58427,16711
17127,,Indonesia,,19277,6035,1343720,330916
17128,,Iran ( Islamic R.),,,,,
17129,,Ireland,,1497,453,10251,2911
17130,,Italy,,92545,23505,1057671,288170
17131,,Japan,,516806,167962,6125205,1578572
17132,,"Korea, Republic of",,392946,96662,5229391,1615025
17133,,Lithuania,,,,13231,3919
17134,,Malaysia,,63957,16451,918057,240033
17135,,Mauritius,,,,258783,91167
17136,,Mexico,,,,12697,3795
17137,,Morocco,,56548,18405,90306,30278
17138,,Myanmar,,,,43824,12151
17139,,Netherlands,,33579,7421,169567,41729
17140,,New Zealand,,25950,7194,174988,49176
17141,,O.Asia(Tai.For.Pe.Ki,,300371,71310,3233232,955394
17142,,Oman,,,,,
17143,,Paraguay,,,,59268,20957
17144,,Peru,,,,685805,197012
17145,,Philippines,,55793,13388,295816,74554
17146,,Poland,,,,149174,42197
17147,,Portugal,,246454,72734,3158798,1080582
17148,,Romania,,,,1183,310
17149,,Russian Federation,,,,66120,18746
17150,,Saudi Arabia,,,,87480,35655
17151,,Slovenia,,,,41989,13240
17152,,South Africa,,,,17218,7042
17153,,Spain,,25288,7178,165675,50374
17154,,Sri Lanka,,14805,3389,124197,33358
17155,,Thailand,,55339,15584,634409,168923
17156,,Tunisia,,,,57131,21484
17157,,Turkey,,292800,74781,2492430,641036
17158,,U.S.America,,136512,35011,854684,254561
17159,,United Arab Emirates,,5897,2735,183269,51454
17160,,United Kingdom,,,,25849,8093
17161,,Viet Nam,,130001,33367,2372288,577320
17162,52051300.0,S-COT.YARN UCF.D-192.31-232.56,KG,1892212,485617,12426624,3866734
17163,,Afghanistan,,,,80,52
17164,,Bahrain,,184746,54734,1213784,374460
17165,,Bangladesh,,37516,9496,1675463,483360
17166,,Belgium,,,,7331,1837
17167,,Canada,,,,34655,13167
17168,,Germany,,,,17918,5134
17169,,Greece,,,,15556,5992
17170,,Honduras,,,,,
17171,,Hong Kong S.A.Re.Chi,,,,625901,160182
17172,,India,,,,,
17173,,Indonesia,,,,12020,4346
17174,,Italy,,1194908,41528,2346435,517171
17175,,Japan,,27261,6933,639792,184785
17176,,"Korea, Republic of",,69447,21124,968820,317920
17177,,Malaysia,,,,74254,21311
17178,,Mauritius,,,,21094,10999
17179,,Netherlands,,,,6960,2178
17180,,New Zealand,,,,4625,1979
17181,,O.Asia(Tai.For.Pe.Ki,,,,,
17182,,Philippines,,54312,13511,191131,52799
17183,,Poland,,,,19932,7152
17184,,Portugal,,173397,78484,1190468,478254
17185,,Slovenia,,,,,
17186,,South Africa,,,,11589,4559
17187,,Spain,,,,104845,28392
17188,,Sri Lanka,,,,,
17189,,Thailand,,,,35290,12719
17190,,Tunisia,,,,162160,59696
17191,,Turkey,,19414,7310,189092,71417
17192,,U.S.America,,,,87808,29209
17193,,United Arab Emirates,,11876,4133,11876,4133
17194,,United Kingdom,,,,499,175
17195,,Viet Nam,,,,,
17196,52051400.0,S-C. YARN UCF D-125.00-193.31.,KG,34713,13430,1736490,677721
17197,,Bahrain,,,,332195,121558
17198,,Bangladesh,,,,103475,38236
17199,,China,,26081,9337,662239,249720
17200,,Djibouti,,,,18860,5286
17201,,Hong Kong S.A.Re.Chi,,,,445345,183925
17202,,Italy,,,,,
17203,,"Korea, Republic of",,,,,
17204,,Malaysia,,,,18200,7002
17205,,Mauritius,,,,2104,1646
17206,,Poland,,,,,
17207,,Portugal,,8632,4093,144732,64727
17208,,Sri Lanka,,,,,
17209,,Tunisia,,,,9340,5621
17210,,U.S.America,,,,,
17211,52051500.0,S/C YARN UCF.D< 125.00-193.31.,KG,6033,1762,83762,32827
17212,,Bahrain,,,,,
17213,,Bangladesh,,,,10327,4286
17214,,Hong Kong S.A.Re.Chi,,,,64703,25220
17215,,India,,,,2699,1559
17216,,Ireland,,6033,1762,6033,1762
17217,,Italy,,,,,
17218,,Spain,,,,,
17219,,Viet Nam,,,,,
17220,52052100.0,S/C YARN COM.FIB D-714.29/MORE,KG,60781,15810,1379107,407263
17221,,Bahrain,,,,,
17222,,Bangladesh,,19051,5288,219245,56617
17223,,Belgium,,,,25641,7480
17224,,Canada,,,,6260,2087
17225,,China,,,,551447,145499
17226,,Colombia,,,,,
17227,,France,,,,,
17228,,Germany,,,,,
17229,,India,,,,2137,1010
17230,,Italy,,,,24629,7196
17231,,"Korea, Republic of",,,,42755,11813
17232,,Malaysia,,41730,10522,289755,76191
17233,,Mauritius,,,,,
17234,,O.Asia(Tai.For.Pe.Ki,,,,,
17235,,Philippines,,,,,
17236,,Poland,,,,1020,295
17237,,Portugal,,,,,
17238,,Romania,,,,,
17239,,Slovenia,,,,216218,99074
