HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6,JUNE.1,Unnamed: 8,CUMULATIVE FROM JULY.1,Unnamed: 10
,,,QUANTITY,VALUE,QUANTITY,VALUE,QUANTITY,VALUE,QUANTIT,VALUE
,Norway,,1000,427,3956,1512,40,14,3443,1578
,O.Asia(Tai.For.Pe.Ki,,,,508,366,,,285,23
,Oman,,1020,405,11737,4334,251,98,24305,12942
,Panama,,,,,,,,70,28
,Philippines,,,,2708,1248,,,2060,904
,Portugal,,,,,,,,20,7
,Qatar,,578,249,11056,4127,245,96,67982,23932
,Romania,,66,43,66,43,86,36,86,36
,Saudi Arabia,,6924,2570,169018,47679,10131,4316,1101221,426146
,Seychelles,,,,5250,1530,,,,
,Sierra Leone,,,,35,15,,,,
,Singapore,,1800,691,3460,1470,,,9446,5522
,Somalia,,,,,,,,4367,1798
,South Africa,,2816,887,37747,11809,600,261,39321,14607
,Spain,,72,37,4672,1639,,,4300,1770
,Sri Lanka,,2300,1046,7938,2563,,,,
,Sudan,,,,,,,,1335,577
,Sweden,,,,653,313,75,30,515,209
,Thailand,,,,280,104,,,6519,3603
,Trinidad and Tobago,,,,11,4,,,,
,Turkey,,,,8000,2879,,,100,42
,U.R.of Tanzania,,,,15224,5942,,,6156,2376
,U.S.America,,28089,6675,211495,71217,18480,7091,263132,138126
,Uganda,,,,,,,,1500,626
,United Arab Emirates,,21927,5106,205735,64101,41181,16592,630260,230463
,United Kingdom,,30094,7658,183246,61982,4223,1799,278342,111957
,Viet Nam,,,,6900,2540,,,3911,1585
,Yemen,,9490,2847,9490,2847,,,,
10011100,DURUM WHEAT SEED,MT,,,892,29280,1386,45482,4988,167068
,Afghanistan,,,,892,29280,1386,45482,4988,167068
10011900,DURUM WHEAT,MT,,,,,,,50,2061
,Afghanistan,,,,,,,,50,2061
10019900,OTHER DURUM WHEAT & MESLIN,MT,,,3937,108675,,,400,14504
,Afghanistan,,,,3622,99594,,,,
,Malaysia,,,,,,,,400,14504
,Qatar,,,,219,5976,,,,
,United Arab Emirates,,,,96,3106,,,,
10021000,RYE SEED,MT,,,2,31,,,,
,Afghanistan,,,,2,31,,,,
10029000,OTHER RYE,MT,,,20,1450,,,,
,United Kingdom,,,,20,1450,,,,
10031000,BARLEY SEED,MT,,,20,569,,,20,756
,Afghanistan,,,,4,119,,,20,756
,United Arab Emirates,,,,16,451,,,,
10039000,OTHER BARLEY,MT,,,2,79,,,,
,Afghanistan,,,,2,79,,,,
10049000,OTHER OATS,MT,,,39,124,,,30,907
,Afghanistan,,,,,,,,30,907
,Chile,,,,39,124,,,,
10051000,"SEED, MAIZE",MT,38,1558,3428,87385,671,15955,2310,57222
,Afghanistan,,38,1558,221,7392,,,366,10984
,Indonesia,,,,,,,,3,847
,"Korea, Republic of",,,,42,1268,,,,
,Malaysia,,,,3165,78725,671,15955,1895,44525
,Oman,,,,,,,,20,601
,Qatar,,,,,,,,26,265
10059000,OTHER  MAIZE (CORN),MT,98,3961,28978,685488,25747,591067,85714,1760180
,Afghanistan,,97,3902,7960,200901,220,6576,2462,59221
,Australia,,,,2,49,,,,7
,Bahrain,,,,172,313,,,,
,Bangladesh,,,,,,,,2510,34148
,Belgium,,,,,,4,112,4,112
,Djibouti,,,,,,,,98,2481
,Hong Kong S.A.Re.Chi,,,,110,2851,,,1009,24352
,India,,,,707,17017,,,,
,Kuwait,,1,58,5,170,,,,
,Malaysia,,,,11595,262650,25218,576859,46326,1011057
,New Zealand,,,,,,,,2,54
,O.Asia(Tai.For.Pe.Ki,,,,,,,,600,15012
,Oman,,,,432,5074,100,2378,100,2378
,Seychelles,,,,260,6589,,,,
,Singapore,,,,4251,102122,,,7882,171362
,Sri Lanka,,,,2748,73487,205,5142,24611,438265
,Sweden,,,,1,24,,,,
,U.S.America,,,,5,154,,,,
,United Arab Emirates,,,,,,,,110,1731
,Viet Nam,,,,366,8424,,,,
,Yemen,,,,364,5661,,,,
10061010,RICE SEED FOR SOWING,MT,,,25,332,,,,
,South Sudan,,,,25,332,,,,
10061090,OTH RICE IN HUSK (PADDY/ROUGH),MT,66,2482,422,15765,,,12380,56787
,Bahrain,,6,230,6,230,,,,
,China,,,,,,,,1619,23164
,Fiji,,,,2,81,,,,
,Qatar,,,,,,,,42,620
,Sudan,,,,,,,,40,549
,Sweden,,,,9,332,,,,
,United Arab Emirates,,60,2252,405,15122,,,10679,32454
10062000,HUSKED (BROWN) RICE,MT,11782,849204,48926,3688236,,5,75223,3954321
,Afghanistan,,,,18,1204,,,1,47
,Australia,,626,57611,1144,75841,,,198,15068
,Azerbaijan,,73,3821,73,3821,,,,
,Bahrain,,808,53804,808,53804,,,,
,Belgium,,440,35110,5529,476264,,,17640,935412
,Canada,,73,5980,136,11736,,,18,1323
,Czech Republic,,,,,,,,2,71
,Denmark,,120,8473,1076,96089,,,1115,82825
,Djibouti,,,,,,,,6,350
,Egypt(U.A.R.),,,,,,,,7,510
,France,,,,2350,179320,,,4750,271414
,Germany,,33,2251,56,4083,,,1382,90689
,Ghana,,,,140,6481,,,,
,Greece,,48,3337,48,3337,,,,
,Italy,,122,9812,3101,258618,,,10945,608867
,Jordan,,5,380,5,380,,,,
,Kenya,,404,29202,9033,554219,,,5081,179820
,"Korea, Republic of",,3,172,3,172,,,,
,Kuwait,,48,3744,48,3744,,,,
,Libya,,270,20879,270,20879,,,,
,Lithuania,,,,100,3821,,,60,2251
,Malaysia,,2000,157770,2000,157770,,,,
,Martinique,,,,,,,,130,7393
,Mozambique,,5,374,5,374,,,1,71
,Netherlands,,,,2920,222562,,,4884,271729
,New Zealand,,25,1899,28,2119,,,1,77
,Oman,,1036,35144,1036,35144,,,,
,Poland,,775,68895,3027,263382,,,600,30669
,Portugal,,,,250,16908,,,1250,67469
,Qatar,,159,12825,159,12825,,,,
,Reunion,,,,49,4794,,,,
,Romania,,,,,,,,400,21298
,Saudi Arabia,,406,22158,406,22158,,,15,1102
,Somalia,,1258,90376,1258,90376,,,,
,South Africa,,9,723,9,723,,,,
,Spain,,,,1764,139799,,,9143,471710
,Sweden,,,,,,,,646,7287
,Trinidad and Tobago,,6,506,6,506,,,,
,U.S.America,,72,5316,176,13779,,5,66,4175
,United Arab Emirates,,1468,97239,1511,101236,,,305,4981
,United Kingdom,,1441,117794,10335,846359,,,16577,877716
,Yemen,,49,3610,49,3610,,,,
10063010,RICE BASMATI,MT,62439,7092451,469263,47479325,40312,4153127,479974,46615684
,Afghanistan,,,,523,52592,37,3678,952,93065
,Algeria,,,,70,6949,,,42,4569
,Angola,,,,144,15951,,,15,2752
,Argentina,,24,2285,85,9252,,,17,1989
,Australia,,1018,104708,14180,1354564,1630,135931,15598,1519344
,Austria,,,,148,12241,,,66,8658
,Azerbaijan,,22,1933,16140,1605000,7095,667362,38116,3954104
,Bahrain,,761,65560,7301,700662,344,30365,6760,596686
,Bangladesh,,140,16203,1879,158925,371,7637,2400,158507
,Belgium,,2270,243833,15007,1522363,391,36712,10569,945919
,Benin,,,,,,,,858,86332
,Botswana,,,,,,,,11,1003
,Brazil,,,,50,5000,25,2761,50,5405
,Bulgaria,,25,2330,154,15941,,,139,12216
,Canada,,830,102703,8729,868756,688,75406,6881,703223
,Chile,,,,192,21469,,,239,23624
,China,,100,12174,859,91589,50,4429,1003,82383
,"Co,te d,Ivoire(Fr.Iv",,,,250,20111,,,195,14156
,Comoros,,,,,,,,72,3943
,Croatia,,,,,,,,30,2373
,Cyprus,,23,2257,170,16780,,,107,7736
,Czech Republic,,24,2142,175,18357,28,2822,140,13696
,D.R.of Congo,,13,1633,52,4824,,,71,4462
,Denmark,,321,32812,1647,169390,105,10610,1980,172393
,Djibouti,,180,21068,2475,237011,97,9724,2422,243647
,Egypt(U.A.R.),,,,134,14453,48,4927,252,25483
,Estonia,,,,47,4793,13,1532,55,5701
,Fiji,,,,,,400,50,400,50
,Finland,,,,86,10544,23,2454,135,14548
,France,,593,58667,3812,389504,215,20399,4065,361000
,Gambia,,,,54,5296,,,12,1172
,Georgia,,20,2984,100,13933,20,2722,142,17813
,Germany,,358,45100,5018,569755,229,23514,5371,547685
,Ghana,,,,294,26033,,,83,6970
,Greece,,86,10320,821,84842,85,9237,1061,97742
,Guadeloupe,,,,,,,,555,38361
,Guinea-Bissau,,,,,,24,2227,24,2227
,Guyana,,,,3,282,,,,
,Hong Kong S.A.Re.Chi,,47,5852,439,47616,64,6505,369,39009
,Hungary,,,,155,16965,,,,
,Indonesia,,,,72,5086,,,40,3514
,Iran ( Islamic R.),,94,10006,4122,463361,2392,251082,5175,518487
,Iraq,,,,333,38276,,,1182,96423
,Ireland,,24,3446,431,51909,48,5330,597,63471
,Italy,,1997,207247,9068,942029,325,33930,6581,680677
,Jamaica,,,,38,3782,,,,
,Japan,,220,29542,910,119975,,,521,68808
,Jordan,,21,2304,110,10094,,,54,4985
,Kazakstan,,290,24829,20544,1598216,725,81005,16474,1698961
,Kenya,,844,92968,9165,868707,,,6154,469753
,"Korea, Republic of",,,,179,20702,20,1873,836,33288
,Kuwait,,90,10525,1522,161841,49,5398,2463,222377
,Latvia,,,,330,31924,,,323,27678
,Lebanon,,46,4707,1115,100453,24,2182,1379,112270
,Liberia,,,,,,,,110,10295
,Libya,,120,16913,947,97230,,,237,24031
,Lithuania,,26,2269,1065,113240,,,793,62116
,Macao.China,,,,,,,,10,1177
,Madagascar,,1,125,3,376,,,12,945
,Malawi,,,,,,,,24,1709
,Malaysia,,384,43766,1142,116051,73,7869,961,82615
,Maldives,,202,20461,2218,176568,47,3983,2658,166802
,Malta,,,,50,5816,,,2,288
,Mauritania,,,,,,,,27,921
,Mauritius,,73,9464,1176,124379,168,16978,1543,160884
,Morocco,,,,18,1722,,,,
,Mozambique,,124,14281,690,66673,32,3778,1349,147548
,Netherlands,,827,101897,6526,698013,221,25658,7438,744088
,New Zealand,,68,8461,1488,152145,137,11081,2066,185359
,Nigeria,,,,17,2079,,,19,2631
,Norway,,99,13899,1108,138961,134,16261,1253,150006
,Oman,,5805,703497,27806,3044749,2460,274547,36689,3742138
,Philippines,,,,30,2855,10,1348,21,2787
,Poland,,652,60157,2113,195140,11,1172,720,71738
,Portugal,,,,667,68126,,,255,21366
,Qatar,,1039,126806,13053,1359448,1326,175558,9320,1290179
,Reunion,,548,54192,1246,117225,92,7962,1742,155640
,Romania,,1,136,346,29636,1,129,400,40519
,Russian Federation,,348,37762,2285,225803,24,2610,1843,163060
,Saudi Arabia,,2802,327912,28316,2832920,1675,180015,40203,3924863
,Senegal,,,,,,,,38,3546
,Serbia,,,,1,177,,,,
,Seychelles,,,,57,6233,,,158,15913
,Sierra Leone,,,,4,352,,,,
,Singapore,,45,5558,607,56910,60,5931,656,67314
,Slovenia,,,,,,,,21,1891
,Somalia,,778,78799,8234,703964,,,460,41527
,South Africa,,225,27839,1580,154136,92,9959,3615,236688
,South Sudan,,,,756,44686,,,,
,Spain,,966,103905,6536,639932,30,3096,3280,296082
,Sri Lanka,,306,25524,7616,591116,44,3671,5934,488675
,Sudan,,,,,,98,11952,233,28797
,Swaziland,,,,,,,,8,503
,Sweden,,301,31449,2883,322135,250,29012,3282,359012
,Switzerland,,,,228,24949,20,2184,444,32712
,Thailand,,25,3174,430,43676,,,324,40450
,Togo,,,,1,128,,,,
,Trinidad and Tobago,,19,2439,233,26104,,,67,7906
,Tunisia,,,,190,21632,,,112,10628
,Turkey,,,,4794,516514,,,299,30280
,Turkmenistan,,,,87,4537,,,822,67708
,U.R.of Tanzania,,16,2035,318,28495,,,609,44171
,U.S.America,,1681,231578,18002,2063166,2120,271305,21866,2700043
,Ukraine,,,,152,15710,,,270,23064
,United Arab Emirates,,31027,3533307,146105,15107047,12812,1364413,107611,9905318
,United Kingdom,,1600,191714,15374,1585054,674,72102,24299,2438040
,Uzbekistan,,,,10,1254,,,,
,"Venezuela,Bolivar. R",,,,8,845,,,,
,Viet Nam,,2,235,52,4415,,,,
,Yemen,,1848,192753,33410,3421899,2136,208749,52811,4798072
,Zimbabwe,,,,153,17004,,,24,3004
10063090,RICE OTHER VARIETIES,MT,155918,6107302,2437864,96009395,211647,8589208,2789118,110851136
,Afghanistan,,12962,405295,169543,6132825,18165,569081,146447,5191654
,Albania,,104,5054,1641,61678,,,3979,147327
,Algeria,,,,7513,325100,698,27473,8736,333835
,Angola,,27,1349,23749,926308,540,16913,21146,711404
,Argentina,,,,4,252,,,,
,Australia,,2,53,925,57727,22,1377,2391,168982
,Austria,,,,88,3575,,,66,3437
,Azerbaijan,,,,8879,378726,6614,342763,24597,1223437
,Bahrain,,489,24324,13552,734112,1100,57999,13999,659731
,Bangladesh,,,,1023,41645,46,2478,167,7710
,Belgium,,43,2780,14420,954034,2503,168626,19827,1169570
,Benin,,12168,495351,55386,2236551,6621,273118,90223,3567391
,Bulgaria,,,,25,1651,,,305,10850
,Cameroon,,25,1143,21585,814135,,,8357,302512
,Canada,,23,1538,1151,64926,145,8033,2706,155729
,Cape Verde,,,,,,,,599,23586
,Chile,,530,23881,4515,183163,,,2703,102118
,China,,3200,107465,251920,8580847,11704,442589,610315,23229233
,"Co,te d,Ivoire(Fr.Iv",,1063,39065,29306,1181165,3406,121054,117723,4564775
,Comoros,,144,5418,26761,980285,336,18242,16801,570730
,"Congo, Republic of",,,,950,33043,,,265,8244
,Croatia,,,,148,4731,,,518,20552
,Cyprus,,,,73,4658,24,1759,164,10521
,Czech Republic,,,,,,18,1143,116,6631
,D.R.of Congo,,,,192,8617,345,1830,707,18444
,Denmark,,,,1417,106738,240,15748,1221,63679
,Djibouti,,588,22240,4914,208595,148,7556,10778,456009
,Egypt(U.A.R.),,,,132,8212,374,17648,588,28257
,Fiji,,,,,,,,25,1413
,France,,,,5858,365567,602,36443,4434,243805
,Gambia,,1528,54838,12637,453843,1900,68667,21981,833963
,Gaza Strip,,,,5130,222487,,,,
,Georgia,,78,3790,6161,238964,50,2201,7983,292920
,Germany,,265,11121,2206,119935,421,30389,3277,164619
,Ghana,,648,31082,4966,207366,,,10174,382734
,Greece,,,,52,4270,13,714,292,14586
,Guinea,,,,,,9000,285558,17793,574649
,Guinea-Bissau,,963,38209,16256,613156,,,10412,370112
,Guyana,,,,1,47,,,,
,Haiti,,,,4455,153948,,,270,11659
,Hong Kong S.A.Re.Chi,,,,49,2568,557,150,724,7765
,India,,,,120,3755,,,,
,Indonesia,,,,49897,1674968,7623,239637,57733,1915342
,Iran ( Islamic R.),,367,12528,2209,76184,923,35938,5327,225456
,Iraq,,162,7026,5142,221512,753,26997,3447,124538
,Ireland,,,,,,,,9,1027
,Italy,,40,3635,7122,511341,1421,91891,7498,397318
,Japan,,,,10,470,,,,
,Jordan,,38,2039,2985,123859,25,990,3386,126882
,Kazakstan,,17303,657035,67730,2664387,160,5488,4968,236111
,Kenya,,52526,2053134,532911,20017885,41724,1626479,392388,16604330
,"Korea, Republic of",,,,31,1692,,,13,782
,Kuwait,,628,28612,9116,467688,780,40658,9214,440181
,Latvia,,,,52,2343,,,26,1042
,Lebanon,,5,157,478,23768,221,12320,379,19963
,Liberia,,,,25,1158,,,82,3567
,Libya,,,,1148,81073,,,2344,111070
,Lithuania,,200,8855,5584,205105,25,1118,11103,401420
,Madagascar,,1277,48563,122503,4489706,4465,163147,89398,3420459
,Malaysia,,,,59578,2473236,8100,313787,99195,3550152
,Maldives,,,,481,28921,155,9716,1540,90006
,Malta,,27,1135,239,10620,27,1060,464,5637
,Martinique,,,,,,,,65,3700
,Mauritania,,,,12160,440326,810,28837,5810,204366
,Mauritius,,2093,86574,13072,534524,597,24676,10558,433493
,Mayotte,,,,108,5610,27,1418,370,17427
,Morocco,,,,1182,48807,24,752,661,25550
,Mozambique,,5647,227483,130262,4817818,19840,821442,188755,7491844
,Netherlands,,,,6142,412400,825,50000,4899,272646
,New Zealand,,,,619,41215,123,6723,789,41924
,Nigeria,,,,19003,659619,,,,
,Norway,,,,27,2379,,,25,1303
,O.Asia(Tai.For.Pe.Ki,,,,100,4316,,,,
,Oman,,3762,171475,43429,2383475,2714,136276,44077,2185048
,Philippines,,,,79132,2987509,,,22,1309
,Poland,,,,829,41729,1300,68527,2072,104678
,Portugal,,,,412,22879,887,52343,3806,202976
,Qatar,,449,20972,12341,624948,1535,72964,17082,763892
,Republic of Moldova,,,,,,,,40,1854
,Reunion,,,,143,6525,24,1220,336,16925
,Romania,,,,525,35581,18,1110,290,15762
,Russian Federation,,275,13042,15389,629916,,,46460,1757612
,Saudi Arabia,,3298,171440,49438,2683850,6528,284946,83293,3901709
,Senegal,,3066,101723,24278,798305,3000,91680,45864,1413964
,Serbia,,,,,,,,108,2598
,Seychelles,,81,3767,1318,53887,81,2920,911,34900
,Sierra Leone,,2088,74657,53983,1850731,4587,154071,25010,876689
,Singapore,,,,114,6361,63,2802,355,16224
,Slovenia,,,,18,1354,,,,
,Somalia,,1036,39116,27556,1454709,1706,83158,32926,1586387
,South Africa,,514,18914,4395,166536,694,27396,8709,318117
,South Sudan,,,,2619,88298,,,,
,Spain,,,,21407,867960,3165,167881,8333,347362
,Sri Lanka,,97,5344,26162,1059813,1133,46639,6457,260638
,Sudan,,,,,,,,17384,472188
,Swaziland,,,,,,22,950,58,1996
,Sweden,,24,1401,650,39830,241,15977,899,56435
,Switzerland,,,,85,7870,,,103,7764
,Syrian Arab Republic,,,,1962,83590,,,1442,57564
,Thailand,,,,16,920,,,504,15717
,Timor Leste,,,,,,,,6500,224921
,Togo,,3047,127163,18742,719886,108,4285,30881,1268195
,Trinidad and Tobago,,1,28,4,168,,,86,4580
,Tunisia,,400,18058,5350,221264,,,1625,65059
,Turkey,,196,10194,8036,332364,1866,82324,20818,778398
,Turkmenistan,,,,3817,143785,,,1182,44332
,Tuvalu,,,,,,,,85,3402
,U.R.of Tanzania,,16206,652271,142407,5285597,7387,302684,156146,5808468
,U.S.America,,73,3070,1177,75956,252,16158,2952,195036
,Ukraine,,365,11438,11911,425222,76,2755,18733,686199
,United Arab Emirates,,3157,132185,87809,4109437,15654,740408,73322,3253469
,United Kingdom,,88,4098,15980,1070228,2873,151553,17849,926392
,"Venezuela,Bolivar. R",,,,1660,93756,,,,
,Viet Nam,,,,1,78,,,800,18231
,Yemen,,1532,70387,9981,558527,349,22635,20338,1080867
,Zimbabwe,,1000,45787,17169,614414,1144,32922,8005,251170
10064000,BROKEN RICE,MT,26185,987138,567101,21067037,63238,2324948,902130,32824457
,Afghanistan,,3705,183740,185806,7406748,16094,719479,165250,7191047
,Albania,,,,1456,52487,,,208,7600
,Algeria,,,,,,,,542,22427
,Angola,,,,520,21315,,,4430,113378
,Argentina,,,,,,,,24,997
,Aruba,,,,26,1154,,,,
,Australia,,,,2565,109972,,,852,36088
,Azerbaijan,,,,,,,,14834,535327
,Bahrain,,36,1256,310,10562,24,1503,1581,85355
,Bangladesh,,104,4347,104,4347,,,59,4917
,Belgium,,153,5810,3420,190346,400,20656,908,55267
,Benin,,81,2331,1880,66564,,,11082,397659
,Cameroon,,84,3336,1584,51053,,,2800,91409
,Canada,,,,244,10976,40,2714,539,28215
,Cape Verde,,,,27,1079,,,,
,Chile,,,,1984,76573,,,540,20199
,China,,10108,345919,78652,2614777,2750,88298,148953,5098379
,"Co,te d,Ivoire(Fr.Iv",,,,4682,158217,,,41205,1304948
,Comoros,,,,5495,191650,,,1280,46236
,Croatia,,,,,,,,129,4655
,D.R.of Congo,,,,,,,,297,9348
,Denmark,,,,616,31997,160,8342,1440,76927
,Djibouti,,540,19543,10964,381431,162,5869,12297,421196
,Egypt(U.A.R.),,,,,,,,52,1763
,France,,,,19,1337,,,45,3665
,Gambia,,1115,42325,4313,158437,2155,80162,20618,685379
,Georgia,,,,1943,69647,129,3657,3018,85634
,Germany,,,,120,5506,,,82,3191
,Ghana,,,,,,,,1440,61219
,Greece,,,,1,36,,,15,970
,Guinea,,,,52,1531,634,19523,634,19523
,Guinea-Bissau,,2600,94013,10896,386901,12135,373790,51654,1718871
,Haiti,,,,2260,74671,,,2100,63499
,Hong Kong S.A.Re.Chi,,250,8963,4295,149842,421,13251,5113,163391
,Indonesia,,,,68800,2318020,6000,189843,80644,2566896
,Iran ( Islamic R.),,,,22,1028,,,1757,69612
,Iraq,,,,,,88,6058,1008,41098
,Italy,,200,10915,2350,108382,15,663,428,26162
,Jordan,,,,5,340,,,220,9423
,Kazakstan,,,,,,,,1038,43155
,Kenya,,260,10334,31427,1137207,3520,117042,81567,2865111
,"Korea, Republic of",,,,,,,,1,53
,Kuwait,,12,657,538,25492,163,11215,607,33948
,Latvia,,,,,,,,24,2003
,Lebanon,,,,,,7,502,230,13721
,Liberia,,,,,,,,8,325
,Libya,,,,297,22945,,,49,2774
,Lithuania,,,,25,1053,75,4142,1267,46889
,Madagascar,,,,16367,626240,208,4781,21618,780285
,Malawi,,,,2,84,,,4,209
,Malaysia,,,,2859,104875,,,29422,1006079
,Maldives,,,,,,,,23,934
,Malta,,,,68,2775,,,138,4826
,Mauritania,,,,4912,169646,,,5563,176601
,Mauritius,,,,1205,43794,,,1557,57993
,Mozambique,,,,14860,514755,390,16393,23013,819946
,Netherlands,,,,791,45609,24,1541,918,42473
,New Zealand,,,,135,8731,,,105,5524
,O.Asia(Tai.For.Pe.Ki,,,,,,,,75,2791
,Oman,,,,145,8458,126,6958,1666,78277
,Philippines,,,,1710,67233,,,,
,Poland,,,,8,627,,,1,73
,Qatar,,,,211,5882,113,6982,2739,153978
,Reunion,,,,24,1001,,,131,11232
,Russian Federation,,,,2070,76487,150,10067,2595,88395
,Sao Tome & Principe,,,,135,7185,,,,
,Saudi Arabia,,50,1228,3679,199437,942,49434,12802,659267
,Senegal,,,,415,15659,10050,307324,29313,883017
,Seychelles,,,,,,,,401,14114
,Sierra Leone,,4588,176116,27998,989451,2970,104184,31011,996689
,Singapore,,,,75,4220,25,2323,793,33735
,Somalia,,,,,,,,198,9055
,South Africa,,116,4719,2610,99626,177,6462,1294,46865
,Spain,,,,1508,53224,,,4040,133072
,Sri Lanka,,,,7048,294014,207,6480,1776,57411
,St.Kitts and Nevis,,,,,,,,25,1060
,Sudan,,,,,,,,695,20253
,Sweden,,,,72,3002,71,4079,293,14202
,Syrian Arab Republic,,,,,,,,250,10658
,Tajikistan,,,,137,6147,,,,
,Timor Leste,,,,2799,100407,,,3675,123839
,Togo,,135,4091,3298,112132,,,3208,107457
,Tunisia,,,,,,,,625,23083
,Turkey,,,,656,30104,,,250,10531
,Turkmenistan,,,,,,97,5076,699,30110
,U.R.of Tanzania,,138,4311,22324,795212,405,11465,26051,894956
,U.S.America,,63,2119,293,17025,147,8046,616,37458
,Uganda,,,,,,390,17068,390,17068
,Ukraine,,,,3607,111306,,,11132,322782
,United Arab Emirates,,1847,61066,10149,368531,911,31841,9207,414970
,United Kingdom,,,,39,2673,,,46,2394
,"Venezuela,Bolivar. R",,,,252,15368,,,,
,Viet Nam,,,,1,68,,,,
,Yemen,,,,3811,223258,863,57733,9332,601222
,Zimbabwe,,,,3130,99168,,,1571,49726
10071000,SEED GRAIN SORGHUM(JAWAR),MT,,,50,909,,,,
,United Arab Emirates,,,,50,909,,,,
10079000,OTHER GRAIN SORGHUM(JAWAR),MT,5,219,5,219,,,,
,Jordan,,5,219,5,219,,,,
10081000,BUCK WHEAT,MT,,,,,,,75,750
,Afghanistan,,,,,,,,75,750
10082100,SEED MILLET (BAJRA),MT,,,76,1505,14,396,55,815
,Afghanistan,,,,,,14,396,54,796
,South Africa,,,,,,,,1,19
,United Arab Emirates,,,,76,1505,,,,
10082900,OTHER MILLET (BAJRA),MT,362,12666,1374,45003,33,971,680,11691
,Afghanistan,,294,10296,1202,38161,33,971,650,11195
,Oman,,,,,,,,30,496
,Sri Lanka,,68,2370,114,3894,,,,
,United Kingdom,,,,58,2947,,,,
10089000,OTHER CEREALS,MT,,,,,,,23,1182
,Afghanistan,,,,,,,,10,873
,Canada,,,,,,,,13,309
11010010,WHEAT FLOUR,MT,11053,310421,622824,18369295,48171,1599995,626289,20657706
,Afghanistan,,10797,302754,613023,18032103,48040,1594745,623190,20547191
,Australia,,19,478,117,5613,7,399,82,3661
,Comoros,,,,149,5493,,,,
,D.R.of Congo,,,,,,2,47,2,47
,Denmark,,,,,,,,36,1229
,France,,,,16,877,,,29,1320
,Germany,,,,15,717,,,,
,Hong Kong S.A.Re.Chi,,27,571,137,5571,,,94,4325
,India,,,,,,,,120,3654
,Japan,,,,34,1682,,,29,1361
,Kenya,,55,1726,432,13458,45,1407,554,16317
,"Korea, Republic of",,,,54,2405,,,39,1606
,Lebanon,,,,,,,,29,887
,Malaysia,,,,,,,,51,2464
,Mozambique,,,,35,2101,12,754,36,1778
,Netherlands,,,,,,,,8,334
,New Zealand,,,,3,98,,,10,521
,Norway,,,,42,1937,16,970,64,2989
,Oman,,,,,,,,35,914
,Qatar,,,,,,,,95,2967
,Saudi Arabia,,,,1787,72441,,,478,19503
,South Africa,,10,324,49,2202,3,150,65,2886
,Sri Lanka,,,,,,,,180,6846
,Sweden,,18,564,57,2047,,,34,1204
,U.R.of Tanzania,,107,3288,847,22428,22,688,618,18106
,U.S.America,,,,56,2280,,,15,864
,United Arab Emirates,,20,715,5962,195418,24,835,277,10451
,United Kingdom,,,,9,425,,,6,207
,Yemen,,,,,,,,113,4074
11010020,MESLINE FLOUR,MT,98,2927,827,28247,21,657,1680,37299
,Afghanistan,,98,2927,824,28070,21,657,1522,33431
,Australia,,,,,,,,158,3869
,South Africa,,,,3,178,,,,
11022000,MAIZE (CORN) FLOUR,MT,73,4779,736,38872,92,3367,6651,24387
,Afghanistan,,,,46,1860,72,2577,74,3494
,Australia,,42,2727,314,15892,,,1162,7636
,Belgium,,,,5,368,,,,
,Canada,,,,33,1762,7,309,744,1971
,Denmark,,,,1,17,,,,
,Germany,,,,1,33,,,1,23
,Ireland,,,,,,,,108,16
,Italy,,,,1,204,,,864,134
,Japan,,,,,,,,690,2053
,"Korea, Republic of",,,,,,,,3,146
,Kuwait,,,,,,,,748,1233
,Malaysia,,,,,,,,22,928
,New Zealand,,30,1959,242,13632,,,50,2175
,Poland,,,,,,,,1,61
,Romania,,,,42,2401,,,,
,Slovenia,,,,,,,,1,48
,South Africa,,,,2,88,,,,
,Sweden,,,,,,,,180,31
,U.S.America,,1,93,32,1758,13,480,1989,3837
,United Arab Emirates,,,,3,117,,,,
,United Kingdom,,,,14,739,,,1,41
,Viet Nam,,,,,,,,13,560
11029000,OTHER CEREAL FLOUR,MT,,,1278,62159,137,6948,1305,60913
,Afghanistan,,,,169,7395,,,,
,Australia,,,,602,28568,80,3801,971,44766
,Bahrain,,,,4,192,,,5,189
,Canada,,,,6,495,,,,
,Croatia,,,,2,84,,,,
,Denmark,,,,,,,,,37
,Germany,,,,,,,,12,595
,Italy,,,,20,1388,,,36,1735
,Kenya,,,,,,,,2,31
,New Zealand,,,,431,22959,57,3147,256,12352
,Poland,,,,2,128,,,,
,Romania,,,,,,,,23,1208
,Sri Lanka,,,,42,950,,,,
11031100,GROATS AND MEAL OF WHEAT,MT,,,4,234,,,193,9903
,Afghanistan,,,,,,,,25,1350
,Japan,,,,2,138,,,6,366
,Sri Lanka,,,,,,,,162,8188
,United Arab Emirates,,,,2,96,,,,
11031300,GROATS&MEAL OF MAIZE (CORN),MT,576,37365,2347,144155,,,6470,50226
,Afghanistan,,576,37365,2303,141852,,,6439,49797
,Sri Lanka,,,,,,,,2,104
,Tajikistan,,,,44,2303,,,,
,United Kingdom,,,,,,,,29,324
11031900,GROATS AND MEAL OF OTH CEREAL,MT,475,41502,3130,284097,464,43210,2769,250698
,Afghanistan,,67,5213,222,18212,,,58,5166
,Australia,,,,38,3841,,,,
